epoch 10: dev_f1=0.8966824644549763, f1=0.8963395878191326, best_f1=0.9048215403882278
epoch 11: dev_f1=0.922874958976042, f1=0.9201136722450268, best_f1=0.9201136722450268
epoch 12: dev_f1=0.92141652613828, f1=0.9239766081871346, best_f1=0.9201136722450268
epoch 13: dev_f1=0.9209486166007906, f1=0.9197218710493046, best_f1=0.9201136722450268
epoch 14: dev_f1=0.9266666666666666, f1=0.9276105060858424, best_f1=0.9276105060858424
epoch 15: dev_f1=0.9298073783872021, f1=0.9223057644110275, best_f1=0.9223057644110275
epoch 16: dev_f1=0.9306799336650083, f1=0.9258670060451798, best_f1=0.9258670060451798
epoch 17: dev_f1=0.9275942609275943, f1=0.9264375200770962, best_f1=0.9258670060451798
epoch 18: dev_f1=0.9299236134174692, f1=0.9256886611146701, best_f1=0.9258670060451798
epoch 19: dev_f1=0.930171277997365, f1=0.9256926952141059, best_f1=0.9258670060451798
epoch 20: dev_f1=0.9305878445699103, f1=0.9238125597704813, best_f1=0.9258670060451798
epoch 1: dev_f1=0.4394250513347022, f1=0.4603174603174604, best_f1=0.4603174603174604
epoch 2: dev_f1=0.5779927448609432, f1=0.5974625144175316, best_f1=0.5974625144175316
epoch 3: dev_f1=0.5845070422535211, f1=0.6029246344206974, best_f1=0.6029246344206974
epoch 4: dev_f1=0.5926800472255018, f1=0.6067415730337078, best_f1=0.6067415730337078
epoch 5: dev_f1=0.585812356979405, f1=0.5969162995594715, best_f1=0.6067415730337078
epoch 6: dev_f1=0.5928489042675893, f1=0.6039823008849557, best_f1=0.6039823008849557
epoch 7: dev_f1=0.599250936329588, f1=0.6060606060606061, best_f1=0.6060606060606061
epoch 8: dev_f1=0.5901639344262295, f1=0.6020293122886133, best_f1=0.6060606060606061
epoch 9: dev_f1=0.5981087470449173, f1=0.6085972850678734, best_f1=0.6060606060606061
epoch 10: dev_f1=0.5878300803673937, f1=0.5942350332594234, best_f1=0.6060606060606061
epoch 11: dev_f1=0.5906362545018007, f1=0.6013824884792628, best_f1=0.6060606060606061
epoch 12: dev_f1=0.5922444183313749, f1=0.6073059360730594, best_f1=0.6060606060606061
epoch 13: dev_f1=0.5969447708578143, f1=0.6047565118912798, best_f1=0.6060606060606061
epoch 14: dev_f1=0.5976470588235294, f1=0.5995475113122172, best_f1=0.6060606060606061
epoch 15: dev_f1=0.6024096385542168, f1=0.6118192352259559, best_f1=0.6118192352259559
epoch 16: dev_f1=0.6164574616457462, f1=0.6206896551724138, best_f1=0.6206896551724138
epoch 17: dev_f1=0.6244477172312223, f1=0.6297872340425532, best_f1=0.6297872340425532
epoch 18: dev_f1=0.6369958275382476, f1=0.6347941567065074, best_f1=0.6347941567065074
epoch 19: dev_f1=0.6355421686746987, f1=0.6439169139465875, best_f1=0.6347941567065074
epoch 20: dev_f1=0.6362204724409448, f1=0.6401225114854517, best_f1=0.6347941567065074
